Bwd Packet Length Std,Fwd Header Length,PSH Flag Count,Total Length of Fwd Packets,Average Packet Size,Label
0,0.999855824,0,4.65E-07,0.002311644,Benign
0,0.999855824,0,4.65E-07,0.002311644,Benign
0,0.999855824,0,4.65E-07,0.002311644,Benign
0,0.999855824,0,4.65E-07,0.002311644,Bot
0.008814412,0.999855827,1,1.60E-05,0.012512231,Bot
0.008814412,0.999855827,1,1.60E-05,0.012512231,Bot
0,0.999855826,0,1.09E-06,0.00359589,BruteForce
0,0.999855826,0,1.09E-06,0.00359589,BruteForce
0,0.999855826,0,1.09E-06,0.00359589,BruteForce
0,0.999855826,0,1.09E-06,0.00359589,BruteForce
0,0.999855826,0,1.40E-06,0.001541096,DoS
0,0.999855825,0,9.30E-07,0.001155822,DoS
0,0.999855825,0,9.30E-07,0.001541096,DoS
0,0.999855826,0,1.40E-06,0.001541096,DoS
0,0.999855825,0,9.30E-07,0.002311644,Infiltration
0.000428611,0.999859253,1,0.22217907,0.067409368,Infiltration
0,0.999855838,1,0,0.000770548,Infiltration
0,0.99985854,0,0.179959535,0.068915695,Infiltration
0,0.999855825,1,0,0.000770548,Portscan
0,0.999855825,1,0,0.000770548,Portscan
0,0.999855825,1,0,0.000770548,Portscan
0.123312003,0.999855828,1,4.64E-05,0.084118151,WebAttack
0,0.999855825,1,0,0,WebAttack
0,0.999855825,1,0,0,WebAttack
